Godot Engine v4.7.2.stable.steam.ed1daf0bf - https://godotengine.org

[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  69% ] reimport | civilian_normal_a_gpu.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  72% ] reimport | civilian_journalist_a_rigged.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  75% ] reimport | civilian_journalist_a_gpu.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  78% ] reimport | civilian_elder_a_rigged.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  81% ] reimport | civilian_elder_a_gpu.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  84% ] reimport | civilian_child_a_rigged.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  87% ] reimport | civilian_child_a_gpu.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  90% ] reimport | civilian_brute_a_rigged.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  93% ] reimport | civilian_brute_a_gpu.glb
[   0% ] import | Started Импортировать сцену (104 steps)
[   0% ] import | Импорт сцены…
[   1% ] import | Запуск пользовательского скрипта…
[  99% ] import | Сохранение…
[ DONE ] import

[  96% ] reimport | Завершение импорта активов…
[ DONE ] reimport

[   0% ] reimport | Started Импорт или повторный импорт ассетов (32 steps)
[   0% ] reimport | Выполнение операций после реимпорта…
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Загрузка редактора (5 steps)
[   0% ] loading_editor_layout | Загрузка макета редактора…
[  16% ] loading_editor_layout | Загрузка док-панели…
[  33% ] loading_editor_layout | Повторное открытие сцен…
[  50% ] loading_editor_layout | Загрузка макета центрального редактора…
[  66% ] loading_editor_layout | Загрузка макета окна плагина…
[  83% ] loading_editor_layout | Макет редактора готов.
[ DONE ] loading_editor_layout

